mode,model,parallel,batch,seq,n_layers,layer_total_ms,layer_comm_ms,layer_compute_ms,comm_pct,full_total_ms,full_tokens_per_s
real,13b,2,1,512,40,1.0757,0.3841,0.6916,35.71,43.027,11899.4
real,13b,2,1,2048,40,1.6883,0.191,1.4973,11.31,67.533,30325.7
real,13b,2,4,512,40,1.6596,0.191,1.4686,11.51,66.385,30850.5
real,13b,2,4,2048,40,6.2099,0.6212,5.5887,10.0,248.397,32979.5
real,13b,2,16,512,40,6.1274,0.617,5.5104,10.07,245.098,33423.4
real,13b,2,16,2048,40,24.5236,2.467,22.0566,10.06,980.945,33404.5
real,13b,2,64,512,40,24.6854,2.6561,22.0292,10.76,987.416,33185.6
real,13b,2,64,2048,40,101.3439,10.8838,90.4601,10.74,4053.755,32333.5
real,70b,2,1,512,80,1.3128,0.193,1.1198,14.7,105.027,4875.0
real,70b,2,1,2048,80,3.4552,0.2842,3.1711,8.22,276.419,7409.1
real,70b,2,4,512,80,3.5105,0.3321,3.1784,9.46,280.844,7292.3
real,70b,2,4,2048,80,14.2146,1.4099,12.8047,9.92,1137.17,7203.8
real,70b,2,16,512,80,13.898,1.1831,12.7149,8.51,1111.843,7367.9
real,70b,2,16,2048,80,58.7521,6.6015,52.1507,11.24,4700.172,6971.7
real,70b,2,64,512,80,57.7104,5.605,52.1054,9.71,4616.832,7097.5
real,70b,2,64,2048,80,230.5551,19.2991,211.2559,8.37,18444.405,7106.3
