mode,model,parallel,batch,seq,n_layers,layer_total_ms,layer_comm_ms,layer_compute_ms,comm_pct,full_total_ms,full_tokens_per_s
sim,13b,2,1,512,40,0.9521,0.0274,0.9247,2.87,38.084,13444.0
sim,13b,2,1,2048,40,2.5906,0.0385,2.5521,1.49,103.625,19763.6
sim,13b,2,4,512,40,2.5524,0.0386,2.5138,1.51,102.097,20059.3
sim,13b,2,4,2048,40,10.4365,0.1218,10.3147,1.17,417.459,19623.5
sim,13b,2,16,512,40,10.2673,0.1213,10.146,1.18,410.693,19946.8
sim,13b,2,16,2048,40,42.2605,0.4616,41.7989,1.09,1690.42,19384.5
sim,13b,2,64,512,40,41.5134,0.4608,41.0526,1.11,1660.536,19733.4
sim,13b,2,64,2048,40,171.6118,1.8383,169.7735,1.07,6864.473,19094.3
sim,70b,2,1,512,80,1.621,0.0203,1.6008,1.25,129.682,3948.1
sim,70b,2,1,2048,80,6.2676,0.0552,6.2125,0.88,501.411,4084.5
sim,70b,2,4,512,80,6.1379,0.0553,6.0826,0.9,491.032,4170.8
sim,70b,2,4,2048,80,25.1597,0.1883,24.9714,0.75,2012.776,4070.0
sim,70b,2,16,512,80,25.2296,0.1888,25.0408,0.75,2018.368,4058.7
sim,70b,2,16,2048,80,102.4761,0.7468,101.7293,0.73,8198.089,3997.0
sim,70b,2,64,512,80,101.0854,0.7467,100.3387,0.74,8086.831,4052.0
sim,70b,2,64,2048,80,406.1108,2.9943,403.1166,0.74,32488.867,4034.4
